,year,week,hometeam,awayteam,homescore,awayscore
0,2010,1,NOR,MIN,14,9
14,2010,1,KAN,SDG,21,14
13,2010,1,WAS,DAL,13,7
12,2010,1,TAM,CLE,17,14
11,2010,1,SEA,SFO,31,6
10,2010,1,STL,ARI,13,17
9,2010,1,PIT,ATL,15,9
8,2010,1,PHI,GNB,20,27
15,2010,1,NYJ,BAL,9,10
6,2010,1,NYG,CAR,31,18
5,2010,1,NWE,CIN,38,24
4,2010,1,JAX,DEN,24,17
3,2010,1,HOU,IND,34,24
2,2010,1,CHI,DET,19,14
1,2010,1,BUF,MIA,10,15
7,2010,1,TEN,OAK,38,13
156,2010,2,WAS,HOU,27,30
155,2010,2,SDG,JAX,38,13
154,2010,2,OAK,STL,16,14
153,2010,2,TEN,PIT,11,19
152,2010,2,NYJ,NWE,28,14
151,2010,2,MIN,MIA,10,14
147,2010,2,DAL,CHI,20,27
149,2010,2,DET,PHI,32,35
148,2010,2,DEN,SEA,31,14
146,2010,2,IND,NYG,38,14
145,2010,2,CLE,KAN,14,16
144,2010,2,CIN,BAL,15,10
157,2010,2,SFO,NOR,22,25
150,2010,2,GNB,BUF,34,7
143,2010,2,CAR,TAM,7,20
142,2010,2,ATL,ARI,41,7
168,2010,3,NYG,TEN,10,29
173,2010,3,CHI,GNB,20,17
172,2010,3,TAM,PIT,13,38
171,2010,3,SEA,SDG,27,20
170,2010,3,BAL,CLE,24,17
169,2010,3,STL,WAS,30,16
167,2010,3,NWE,BUF,38,30
165,2010,3,MIN,DET,24,10
166,2010,3,NOR,ATL,24,27
163,2010,3,KAN,SFO,31,10
162,2010,3,JAX,PHI,3,28
161,2010,3,HOU,DAL,13,27
160,2010,3,DEN,IND,13,27
159,2010,3,ARI,OAK,24,23
158,2010,3,CAR,CIN,7,20
164,2010,3,MIA,NYJ,23,31
184,2010,4,OAK,HOU,24,31
183,2010,4,PIT,BAL,14,17
185,2010,4,STL,SEA,20,3
178,2010,4,JAX,IND,31,28
187,2010,4,MIA,NWE,14,41
182,2010,4,PHI,WAS,12,17
186,2010,4,SDG,ARI,41,10
181,2010,4,TEN,DEN,20,26
174,2010,4,ATL,SFO,16,14
179,2010,4,NOR,CAR,16,14
177,2010,4,GNB,DET,28,26
176,2010,4,CLE,CIN,23,20
175,2010,4,BUF,NYJ,14,38
180,2010,4,NYG,CHI,17,3
196,2010,5,HOU,NYG,10,34
200,2010,5,WAS,GNB,16,13
197,2010,5,OAK,SDG,35,27
198,2010,5,BAL,DEN,31,17
199,2010,5,SFO,PHI,24,27
201,2010,5,NYJ,MIN,29,20
190,2010,5,CIN,TAM,21,24
192,2010,5,IND,KAN,19,9
191,2010,5,CLE,ATL,10,20
189,2010,5,CAR,CHI,6,23
188,2010,5,BUF,JAX,26,36
195,2010,5,DET,STL,44,6
193,2010,5,ARI,NOR,30,20
194,2010,5,DAL,TEN,27,34
206,2010,6,MIN,DAL,24,21
203,2010,6,DEN,NYJ,20,24
202,2010,6,CHI,SEA,20,23
215,2010,6,JAX,TEN,3,30
214,2010,6,WAS,IND,24,27
213,2010,6,TAM,NOR,6,31
212,2010,6,SFO,OAK,17,9
210,2010,6,PIT,CLE,28,10
211,2010,6,STL,SDG,20,17
208,2010,6,NYG,DET,28,20
207,2010,6,NWE,BAL,23,20
205,2010,6,HOU,KAN,35,31
204,2010,6,GNB,MIA,20,23
209,2010,6,PHI,ATL,31,17
223,2010,7,NOR,CLE,17,30
228,2010,7,TAM,STL,18,17
229,2010,7,DAL,NYG,35,41
226,2010,7,SDG,NWE,20,23
225,2010,7,BAL,BUF,37,34
224,2010,7,TEN,PHI,37,19
222,2010,7,MIA,PIT,22,23
227,2010,7,SEA,ARI,22,10
220,2010,7,GNB,MIN,28,24
219,2010,7,DEN,OAK,14,59
218,2010,7,CHI,WAS,14,17
217,2010,7,CAR,SFO,23,20
216,2010,7,ATL,CIN,39,32
221,2010,7,KAN,JAX,42,20
242,2010,8,IND,HOU,30,17
241,2010,8,SFO,DEN,24,16
236,2010,8,NWE,MIN,28,18
235,2010,8,NOR,PIT,20,10
234,2010,8,KAN,BUF,13,10
240,2010,8,SDG,TEN,33,25
232,2010,8,DAL,JAX,17,35
233,2010,8,DET,WAS,37,25
239,2010,8,STL,CAR,20,10
237,2010,8,NYJ,GNB,0,9
230,2010,8,CIN,MIA,14,22
231,2010,8,ARI,TAM,35,38
238,2010,8,OAK,SEA,33,3
243,2010,9,ATL,TAM,27,21
244,2010,9,BUF,CHI,19,22
245,2010,9,CAR,NOR,3,34
247,2010,9,DET,NYJ,20,23
248,2010,9,GNB,DAL,45,7
249,2010,9,HOU,SDG,23,29
250,2010,9,MIN,ARI,27,24
251,2010,9,PHI,IND,26,24
252,2010,9,OAK,KAN,23,20
253,2010,9,BAL,MIA,26,10
246,2010,9,CLE,NWE,34,14
255,2010,9,CIN,PIT,21,27
254,2010,9,SEA,NYG,7,41
29,2010,10,WAS,PHI,28,59
28,2010,10,TAM,CAR,31,16
27,2010,10,SFO,STL,23,20
26,2010,10,PIT,NWE,26,39
24,2010,10,MIA,TEN,29,17
23,2010,10,JAX,HOU,31,24
25,2010,10,NYG,DAL,20,33
21,2010,10,ARI,SEA,18,36
20,2010,10,IND,CIN,23,17
19,2010,10,CLE,NYJ,20,26
18,2010,10,CHI,MIN,27,13
17,2010,10,BUF,DET,14,12
16,2010,10,ATL,BAL,26,21
22,2010,10,DEN,KAN,49,29
41,2010,11,PHI,NYG,27,17
31,2010,11,CAR,BAL,13,37
45,2010,11,SDG,DEN,35,14
44,2010,11,SFO,TAM,0,21
43,2010,11,STL,ATL,17,34
42,2010,11,PIT,OAK,35,3
40,2010,11,TEN,WAS,16,19
30,2010,11,MIA,CHI,0,16
38,2010,11,NWE,IND,31,28
37,2010,11,NOR,SEA,34,19
