,year,week,hometeam,awayteam,homescore,awayscore
0,2015,1,NWE,PIT,28,21
14,2015,1,ATL,PHI,26,24
13,2015,1,WAS,MIA,10,17
12,2015,1,TAM,TEN,14,42
11,2015,1,SDG,DET,33,28
10,2015,1,STL,SEA,34,31
9,2015,1,OAK,CIN,13,33
8,2015,1,NYJ,CLE,31,10
15,2015,1,SFO,MIN,20,3
6,2015,1,HOU,KAN,20,27
5,2015,1,DEN,BAL,19,13
4,2015,1,DAL,NYG,27,26
3,2015,1,ARI,NOR,31,19
2,2015,1,CHI,GNB,23,31
1,2015,1,BUF,IND,27,14
7,2015,1,JAX,CAR,9,20
154,2015,2,WAS,STL,24,10
153,2015,2,OAK,BAL,37,33
152,2015,2,PIT,SFO,43,18
151,2015,2,PHI,DAL,10,20
150,2015,2,NYG,ATL,20,24
149,2015,2,NOR,TAM,19,26
145,2015,2,CLE,TEN,28,14
147,2015,2,JAX,MIA,23,20
146,2015,2,GNB,SEA,27,17
144,2015,2,CIN,SDG,24,19
143,2015,2,CHI,ARI,23,48
142,2015,2,CAR,HOU,24,17
155,2015,2,IND,NYJ,7,20
148,2015,2,MIN,DET,26,16
141,2015,2,BUF,NWE,32,40
140,2015,2,KAN,DEN,24,31
166,2015,3,NYJ,PHI,17,24
171,2015,3,GNB,KAN,38,28
170,2015,3,SEA,CHI,26,0
169,2015,3,BAL,CIN,24,28
168,2015,3,STL,PIT,6,12
167,2015,3,TEN,IND,33,35
165,2015,3,NWE,JAX,51,17
163,2015,3,MIA,BUF,14,41
164,2015,3,MIN,SDG,31,14
161,2015,3,DET,DEN,12,24
160,2015,3,DAL,ATL,28,39
159,2015,3,ARI,SFO,47,7
158,2015,3,CLE,OAK,20,27
157,2015,3,CAR,NOR,27,22
156,2015,3,NYG,WAS,32,21
162,2015,3,HOU,TAM,19,9
183,2015,4,SFO,GNB,3,17
182,2015,4,SDG,CLE,30,27
184,2015,4,TAM,CAR,23,37
177,2015,4,IND,JAX,16,13
186,2015,4,SEA,DET,13,10
181,2015,4,NOR,DAL,26,20
185,2015,4,WAS,PHI,23,20
180,2015,4,MIA,NYJ,14,27
173,2015,4,ATL,HOU,48,21
178,2015,4,ARI,STL,22,24
176,2015,4,CIN,KAN,36,21
175,2015,4,CHI,OAK,22,20
174,2015,4,BUF,NYG,10,24
172,2015,4,PIT,BAL,20,23
179,2015,4,DEN,MIN,23,20
195,2015,5,TEN,BUF,13,14
199,2015,5,TAM,JAX,38,31
196,2015,5,PHI,NOR,39,17
197,2015,5,OAK,DEN,10,16
198,2015,5,BAL,CLE,30,33
200,2015,5,SDG,PIT,20,24
189,2015,5,CIN,SEA,27,24
191,2015,5,DET,ARI,17,42
190,2015,5,DAL,NWE,6,30
188,2015,5,ATL,WAS,25,19
187,2015,5,HOU,IND,20,27
194,2015,5,NYG,SFO,30,27
192,2015,5,GNB,STL,24,10
193,2015,5,KAN,CHI,17,18
205,2015,6,DET,CHI,37,34
202,2015,6,BUF,CIN,21,34
201,2015,6,NOR,ATL,31,21
214,2015,6,PHI,NYG,27,7
213,2015,6,SFO,BAL,25,20
212,2015,6,SEA,CAR,23,27
211,2015,6,PIT,ARI,25,13
209,2015,6,NYJ,WAS,34,20
210,2015,6,TEN,MIA,10,38
207,2015,6,JAX,HOU,20,31
206,2015,6,GNB,SDG,27,20
204,2015,6,IND,NWE,27,34
203,2015,6,CLE,DEN,23,26
208,2015,6,MIN,KAN,16,10
222,2015,7,NWE,NYJ,30,23
227,2015,7,WAS,TAM,31,30
228,2015,7,ARI,BAL,26,18
225,2015,7,STL,CLE,24,6
224,2015,7,TEN,ATL,7,10
223,2015,7,NYG,DAL,27,20
221,2015,7,MIA,HOU,44,26
226,2015,7,SDG,OAK,29,37
219,2015,7,JAX,BUF,34,31
218,2015,7,DET,MIN,19,28
217,2015,7,IND,NOR,21,27
