,year,week,hometeam,awayteam,homescore,awayscore
0,2018,1,PHI,ATL,18,12
14,2018,1,DET,NYJ,17,48
13,2018,1,LAC,KAN,28,38
12,2018,1,BAL,BUF,47,3
11,2018,1,NYG,JAX,15,20
10,2018,1,NWE,HOU,27,20
9,2018,1,NOR,TAM,40,48
8,2018,1,MIN,SFO,24,16
15,2018,1,OAK,LAR,13,33
6,2018,1,GNB,CHI,24,23
5,2018,1,DEN,SEA,27,24
4,2018,1,ARI,WAS,6,24
3,2018,1,IND,CIN,23,34
2,2018,1,CLE,PIT,21,21
1,2018,1,CAR,DAL,16,8
7,2018,1,MIA,TEN,27,20
152,2018,2,WAS,IND,9,21
151,2018,2,TAM,PHI,27,21
150,2018,2,SFO,DET,30,27
149,2018,2,LAR,ARI,34,0
148,2018,2,PIT,KAN,37,42
147,2018,2,TEN,HOU,20,17
143,2018,2,GNB,MIN,29,29
145,2018,2,NOR,CLE,21,18
144,2018,2,JAX,NWE,31,20
142,2018,2,DEN,OAK,20,19
141,2018,2,DAL,NYG,20,13
140,2018,2,BUF,LAC,20,31
153,2018,2,CHI,SEA,24,17
146,2018,2,NYJ,MIA,12,20
139,2018,2,ATL,CAR,31,24
138,2018,2,CIN,BAL,34,23
164,2018,3,PHI,IND,20,16
169,2018,3,TAM,PIT,27,30
168,2018,3,WAS,GNB,31,17
167,2018,3,SEA,DAL,24,13
166,2018,3,BAL,DEN,27,14
165,2018,3,LAR,LAC,35,23
163,2018,3,MIN,BUF,6,27
161,2018,3,KAN,SFO,38,27
162,2018,3,MIA,OAK,28,20
159,2018,3,HOU,NYG,22,27
158,2018,3,DET,NWE,26,10
157,2018,3,ARI,CHI,14,16
156,2018,3,CAR,CIN,31,21
155,2018,3,ATL,NOR,37,43
154,2018,3,CLE,NYJ,21,17
160,2018,3,JAX,TEN,6,9
181,2018,4,PIT,BAL,14,26
180,2018,4,TEN,PHI,26,23
182,2018,4,OAK,CLE,45,42
175,2018,4,DAL,DET,26,24
184,2018,4,DEN,KAN,23,27
179,2018,4,NYG,NOR,18,33
183,2018,4,LAC,SFO,29,27
178,2018,4,NWE,MIA,38,7
171,2018,4,ATL,CIN,36,37
176,2018,4,GNB,BUF,22,0
174,2018,4,ARI,SEA,17,20
173,2018,4,IND,HOU,34,37
172,2018,4,CHI,TAM,48,10
170,2018,4,LAR,MIN,38,31
177,2018,4,JAX,NYJ,31,12
194,2018,5,PHI,MIN,21,23
198,2018,5,SFO,ARI,18,28
195,2018,5,PIT,ATL,41,17
196,2018,5,LAC,OAK,26,10
197,2018,5,SEA,LAR,31,33
199,2018,5,NOR,WAS,43,19
188,2018,5,CIN,MIA,27,17
190,2018,5,DET,GNB,31,23
189,2018,5,CLE,BAL,12,9
187,2018,5,CAR,NYG,33,31
186,2018,5,BUF,TEN,13,12
185,2018,5,NWE,IND,38,24
193,2018,5,NYJ,DEN,34,16
191,2018,5,HOU,DAL,19,16
192,2018,5,KAN,JAX,30,14
204,2018,6,DAL,JAX,40,7
201,2018,6,ATL,TAM,34,29
200,2018,6,NYG,PHI,13,34
214,2018,6,GNB,SFO,33,30
213,2018,6,WAS,CAR,23,17
212,2018,6,OAK,SEA,3,27
211,2018,6,TEN,BAL,0,21
209,2018,6,NWE,KAN,43,40
208,2018,6,MIN,ARI,27,17
210,2018,6,NYJ,IND,42,34
206,2018,6,HOU,BUF,20,13
205,2018,6,DEN,LAR,20,23
203,2018,6,CLE,LAC,14,38
202,2018,6,CIN,PIT,21,28
207,2018,6,MIA,CHI,31,28
222,2018,7,PHI,CAR,17,21
227,2018,7,WAS,DAL,20,17
228,2018,7,ATL,NYG,23,20
225,2018,7,SFO,LAR,10,39
224,2018,7,LAC,TEN,20,19
223,2018,7,BAL,NOR,23,24
221,2018,7,NYJ,MIN,17,37
226,2018,7,TAM,CLE,26,23
219,2018,7,KAN,CIN,45,10
218,2018,7,JAX,HOU,7,20
217,2018,7,IND,BUF,37,5
216,2018,7,CHI,NWE,31,38
215,2018,7,ARI,DEN,10,45
220,2018,7,MIA,DET,21,32
242,2018,8,BUF,NWE,6,25
241,2018,8,LAR,GNB,29,27
236,2018,8,KAN,DEN,30,23
235,2018,8,JAX,PHI,18,24
234,2018,8,DET,SEA,14,28
240,2018,8,OAK,IND,28,42
232,2018,8,CIN,TAM,37,34
233,2018,8,ARI,SFO,18,15
239,2018,8,PIT,CLE,33,18
