,year,week,hometeam,awayteam,homescore,awayscore
0,2014,1,SEA,GNB,36,16
14,2014,1,ARI,SDG,18,17
13,2014,1,TAM,CAR,14,20
12,2014,1,BAL,CIN,16,23
11,2014,1,STL,MIN,6,34
10,2014,1,PIT,CLE,30,27
9,2014,1,PHI,JAX,34,17
8,2014,1,NYJ,OAK,19,14
15,2014,1,DET,NYG,35,14
6,2014,1,KAN,TEN,10,26
5,2014,1,HOU,WAS,17,6
4,2014,1,DEN,IND,31,24
3,2014,1,DAL,SFO,17,28
2,2014,1,CHI,BUF,20,23
1,2014,1,ATL,NOR,37,34
7,2014,1,MIA,NWE,33,20
152,2014,2,WAS,JAX,41,10
151,2014,2,TAM,STL,17,19
150,2014,2,SFO,CHI,20,28
149,2014,2,SDG,SEA,30,21
148,2014,2,OAK,HOU,14,30
147,2014,2,TEN,DAL,10,26
143,2014,2,DEN,KAN,24,17
145,2014,2,MIN,NWE,7,30
144,2014,2,GNB,NYJ,31,24
142,2014,2,CLE,NOR,26,24
141,2014,2,CIN,ATL,24,10
140,2014,2,CAR,DET,24,7
153,2014,2,IND,PHI,27,30
146,2014,2,NYG,ARI,14,25
139,2014,2,BUF,MIA,29,10
138,2014,2,BAL,PIT,26,6
164,2014,3,NWE,OAK,16,9
168,2014,3,SEA,DEN,26,20
167,2014,3,STL,DAL,31,34
166,2014,3,PHI,WAS,37,34
165,2014,3,NYG,HOU,30,17
163,2014,3,NOR,MIN,20,9
162,2014,3,MIA,KAN,15,34
169,2014,3,NYJ,CHI,19,27
161,2014,3,JAX,IND,17,44
159,2014,3,ARI,SFO,23,14
158,2014,3,CLE,BAL,21,23
157,2014,3,CIN,TEN,33,7
156,2014,3,CAR,PIT,19,37
155,2014,3,BUF,SDG,10,22
154,2014,3,ATL,TAM,56,14
160,2014,3,DET,GNB,19,7
179,2014,4,BAL,CAR,38,10
180,2014,4,SDG,JAX,33,14
174,2014,4,HOU,BUF,23,17
182,2014,4,KAN,NWE,41,14
178,2014,4,OAK,MIA,14,38
181,2014,4,SFO,PHI,26,21
177,2014,4,PIT,TAM,24,27
170,2014,4,WAS,NYG,14,45
175,2014,4,MIN,ATL,41,28
173,2014,4,DAL,NOR,38,17
172,2014,4,IND,TEN,41,17
171,2014,4,CHI,GNB,17,38
176,2014,4,NYJ,DET,17,24
196,2014,5,SFO,KAN,22,17
191,2014,5,NWE,CIN,43,17
197,2014,5,WAS,SEA,17,27
193,2014,5,TEN,CLE,28,29
192,2014,5,NYG,ATL,30,20
190,2014,5,NOR,TAM,37,31
188,2014,5,DET,BUF,14,17
187,2014,5,DEN,ARI,41,20
186,2014,5,DAL,HOU,20,17
185,2014,5,IND,BAL,20,13
184,2014,5,CAR,CHI,31,24
183,2014,5,GNB,MIN,42,10
195,2014,5,SDG,NYJ,31,0
189,2014,5,JAX,PIT,9,17
194,2014,5,PHI,STL,34,28
204,2014,6,MIA,GNB,24,27
199,2014,6,ATL,CHI,13,27
198,2014,6,HOU,IND,28,33
212,2014,6,STL,SFO,17,31
211,2014,6,TAM,BAL,17,48
210,2014,6,SEA,DAL,23,30
209,2014,6,OAK,SDG,28,31
207,2014,6,TEN,JAX,16,14
206,2014,6,NYJ,DEN,17,31
208,2014,6,PHI,NYG,27,0
203,2014,6,ARI,WAS,30,20
202,2014,6,CLE,PIT,31,10
201,2014,6,CIN,CAR,37,37
200,2014,6,BUF,NWE,22,37
205,2014,6,MIN,DET,3,17
226,2014,7,WAS,TEN,19,17
221,2014,7,JAX,CLE,24,6
227,2014,7,PIT,HOU,30,23
224,2014,7,BAL,ATL,29,7
223,2014,7,STL,SEA,28,26
222,2014,7,OAK,ARI,13,24
220,2014,7,GNB,CAR,38,17
225,2014,7,SDG,KAN,20,23
218,2014,7,DEN,SFO,42,17
217,2014,7,DAL,NYG,31,21
216,2014,7,IND,CIN,27,0
215,2014,7,CHI,MIA,14,27
214,2014,7,BUF,MIN,17,16
213,2014,7,NWE,NYJ,27,25
219,2014,7,DET,NOR,24,23
242,2014,8,DAL,WAS,17,20
241,2014,8,TAM,MIN,13,19
240,2014,8,PIT,IND,51,34
235,2014,8,KAN,STL,34,7
234,2014,8,JAX,MIA,13,27
233,2014,8,ARI,PHI,24,20
236,2014,8,NOR,GNB,44,23
231,2014,8,CIN,BAL,27,24
232,2014,8,CLE,OAK,23,13
239,2014,8,TEN,HOU,16,30
238,2014,8,NYJ,BUF,23,43
237,2014,8,NWE,CHI,51,23
229,2014,8,ATL,DET,21,22
230,2014,8,CAR,SEA,9,13
228,2014,8,DEN,SDG,35,21
243,2014,9,CAR,NOR,10,28
244,2014,9,CIN,JAX,33,23
245,2014,9,CLE,TAM,22,17
247,2014,9,HOU,PHI,21,31
248,2014,9,KAN,NYJ,24,10
249,2014,9,MIA,SDG,37,0
250,2014,9,MIN,WAS,29,26
251,2014,9,NWE,DEN,43,21
252,2014,9,PIT,BAL,43,23
253,2014,9,SEA,OAK,30,24
246,2014,9,DAL,ARI,17,28
255,2014,9,NYG,IND,24,40
254,2014,9,SFO,STL,10,13
24,2014,10,OAK,DEN,17,41
16,2014,10,CIN,CLE,3,24
17,2014,10,BUF,KAN,13,17
18,2014,10,ARI,STL,31,14
19,2014,10,DET,MIA,20,16
20,2014,10,GNB,CHI,55,14
21,2014,10,JAX,DAL,17,31
22,2014,10,NOR,SFO,24,27
23,2014,10,NYJ,PIT,20,13
25,2014,10,BAL,TEN,21,7
26,2014,10,SEA,NYG,38,17
27,2014,10,TAM,ATL,17,27
28,2014,10,PHI,CAR,45,21
40,2014,11,SDG,OAK,13,6
41,2014,11,WAS,TAM,7,27
30,2014,11,CAR,ATL,17,19
31,2014,11,CHI,MIN,21,13
39,2014,11,STL,DEN,22,7
42,2014,11,TEN,PIT,24,27
38,2014,11,NYG,SFO,10,16
29,2014,11,MIA,BUF,22,9
36,2014,11,KAN,SEA,24,20
35,2014,11,GNB,PHI,53,20
34,2014,11,ARI,DET,14,6
33,2014,11,IND,NWE,20,42
32,2014,11,CLE,HOU,7,23
37,2014,11,NOR,CIN,10,27
56,2014,12,BUF,NYJ,38,3
55,2014,12,SFO,WAS,17,13
54,2014,12,SEA,ARI,19,3
53,2014,12,SDG,STL,27,24
52,2014,12,PHI,TEN,43,24
51,2014,12,NYG,DAL,28,31
57,2014,12,NOR,BAL,27,34
49,2014,12,MIN,GNB,21,24
43,2014,12,OAK,KAN,24,20
50,2014,12,NWE,DET,34,9
44,2014,12,ATL,CLE,24,26
46,2014,12,IND,JAX,23,3
48,2014,12,HOU,CIN,13,22
47,2014,12,DEN,MIA,39,36
45,2014,12,CHI,TAM,21,13
66,2014,13,JAX,NYG,25,24
73,2014,13,NYJ,MIA,13,16
72,2014,13,TAM,CIN,13,14
71,2014,13,BAL,SDG,33,34
70,2014,13,STL,OAK,52,0
69,2014,13,PIT,NOR,32,35
68,2014,13,MIN,CAR,31,13
64,2014,13,GNB,NWE,26,21
65,2014,13,HOU,TEN,45,21
63,2014,13,IND,WAS,49,27
62,2014,13,BUF,CLE,26,10
61,2014,13,ATL,ARI,29,18
60,2014,13,SFO,SEA,3,19
59,2014,13,DET,CHI,34,17
58,2014,13,DAL,PHI,10,33
67,2014,13,KAN,DEN,16,29
74,2014,14,CHI,DAL,28,41
75,2014,14,CIN,PIT,21,42
77,2014,14,ARI,KAN,17,14
76,2014,14,CLE,IND,24,25
89,2014,14,GNB,ATL,43,37
88,2014,14,WAS,STL,0,24
87,2014,14,SDG,NWE,14,23
86,2014,14,OAK,SFO,24,13
85,2014,14,PHI,SEA,14,24
83,2014,14,NOR,CAR,10,41
82,2014,14,MIN,NYJ,30,24
81,2014,14,MIA,BAL,13,28
80,2014,14,JAX,HOU,13,27
79,2014,14,DET,TAM,34,17
84,2014,14,TEN,NYG,7,36
78,2014,14,DEN,BUF,24,17
105,2014,15,CHI,NOR,15,31
103,2014,15,SDG,DEN,10,22
102,2014,15,BAL,JAX,20,12
101,2014,15,PHI,DAL,27,38
99,2014,15,NYG,WAS,24,13
98,2014,15,NWE,MIA,41,13
104,2014,15,SEA,SFO,17,7
96,2014,15,DET,MIN,16,14
97,2014,15,KAN,OAK,31,13
90,2014,15,STL,ARI,6,12
91,2014,15,ATL,PIT,20,27
100,2014,15,TEN,NYJ,11,16
93,2014,15,CAR,TAM,19,17
94,2014,15,CLE,CIN,0,30
95,2014,15,IND,HOU,17,10
92,2014,15,BUF,GNB,21,13
121,2014,16,CIN,DEN,37,28
120,2014,16,TAM,GNB,3,20
119,2014,16,STL,NYG,27,37
118,2014,16,OAK,BUF,26,24
117,2014,16,PIT,KAN,20,12
116,2014,16,NYJ,NWE,16,17
115,2014,16,NOR,ATL,14,30
113,2014,16,HOU,BAL,25,13
112,2014,16,DAL,IND,42,7
110,2014,16,CHI,DET,14,20
109,2014,16,CAR,CLE,17,13
108,2014,16,WAS,PHI,27,24
107,2014,16,SFO,SDG,35,38
106,2014,16,JAX,TEN,21,13
114,2014,16,MIA,MIN,37,35
111,2014,16,ARI,SEA,6,35
133,2014,17,BAL,CLE,20,10
122,2014,17,ATL,CAR,3,34
123,2014,17,DEN,OAK,47,14
124,2014,17,GNB,DET,30,20
125,2014,17,HOU,JAX,23,17
126,2014,17,KAN,SDG,19,7
128,2014,17,MIN,CHI,13,9
129,2014,17,NWE,BUF,9,17
130,2014,17,NYG,PHI,26,34
131,2014,17,TEN,IND,10,27
137,2014,17,WAS,DAL,17,44
136,2014,17,TAM,NOR,20,23
135,2014,17,SFO,ARI,20,17
134,2014,17,SEA,STL,20,6
132,2014,17,PIT,CIN,27,17
127,2014,17,MIA,NYJ,24,37
