,year,week,hometeam,awayteam,homescore,awayscore
0,2016,1,DEN,CAR,21,20
14,2016,1,SFO,LAR,28,0
13,2016,1,SEA,MIA,12,10
12,2016,1,BAL,BUF,13,7
11,2016,1,PHI,CLE,29,10
10,2016,1,TEN,MIN,16,25
9,2016,1,NYJ,CIN,22,23
8,2016,1,NOR,OAK,34,35
15,2016,1,WAS,PIT,16,38
6,2016,1,JAX,GNB,23,27
5,2016,1,HOU,CHI,23,14
4,2016,1,DAL,NYG,19,20
3,2016,1,ARI,NWE,21,23
2,2016,1,IND,DET,35,39
1,2016,1,ATL,TAM,24,31
7,2016,1,KAN,SDG,33,27
153,2016,2,WAS,DAL,23,27
152,2016,2,SDG,JAX,38,14
151,2016,2,LAR,SEA,9,3
150,2016,2,OAK,ATL,28,35
149,2016,2,PIT,CIN,24,16
148,2016,2,NYG,NOR,16,13
144,2016,2,DET,TEN,15,16
146,2016,2,MIN,GNB,17,14
145,2016,2,HOU,KAN,19,12
143,2016,2,DEN,IND,34,20
142,2016,2,ARI,TAM,40,7
141,2016,2,CLE,BAL,20,25
154,2016,2,CHI,PHI,14,29
147,2016,2,NWE,MIA,31,24
140,2016,2,CAR,SFO,46,27
139,2016,2,BUF,NYJ,31,37
165,2016,3,NYG,WAS,27,29
170,2016,3,NOR,ATL,32,45
169,2016,3,TAM,LAR,32,37
168,2016,3,SEA,SFO,37,18
167,2016,3,PHI,PIT,34,3
166,2016,3,TEN,OAK,10,17
164,2016,3,MIA,CLE,30,24
162,2016,3,JAX,BAL,17,19
163,2016,3,KAN,NYJ,24,3
160,2016,3,DAL,CHI,31,17
159,2016,3,IND,SDG,26,22
158,2016,3,CIN,DEN,17,29
157,2016,3,CAR,MIN,10,22
156,2016,3,BUF,ARI,33,18
155,2016,3,NWE,HOU,27,0
161,2016,3,GNB,DET,34,27
182,2016,4,SFO,DAL,17,24
181,2016,4,SDG,NOR,34,35
183,2016,4,TAM,DEN,7,27
176,2016,4,JAX,IND,30,27
185,2016,4,MIN,NYG,24,10
180,2016,4,BAL,OAK,27,28
184,2016,4,WAS,CLE,31,20
179,2016,4,PIT,KAN,43,14
172,2016,4,ATL,CAR,48,33
177,2016,4,NWE,BUF,0,16
175,2016,4,HOU,TEN,27,20
174,2016,4,ARI,LAR,13,17
173,2016,4,CHI,DET,17,14
171,2016,4,CIN,MIA,22,7
178,2016,4,NYJ,SEA,17,27
195,2016,5,PIT,NYJ,31,13
199,2016,5,CAR,TAM,14,17
196,2016,5,OAK,SDG,34,31
197,2016,5,LAR,BUF,19,30
198,2016,5,BAL,WAS,10,16
192,2016,5,GNB,NYG,23,16
188,2016,5,IND,CHI,29,23
190,2016,5,DEN,ATL,16,23
189,2016,5,DAL,CIN,28,14
187,2016,5,CLE,NWE,13,33
186,2016,5,SFO,ARI,21,33
194,2016,5,MIN,HOU,31,13
191,2016,5,DET,PHI,24,23
193,2016,5,MIA,TEN,17,30
204,2016,6,GNB,DAL,16,30
201,2016,6,BUF,SFO,45,16
200,2016,6,SDG,DEN,21,13
214,2016,6,ARI,NYJ,28,3
213,2016,6,WAS,PHI,27,20
212,2016,6,SEA,ATL,26,24
211,2016,6,OAK,KAN,10,26
209,2016,6,NYG,BAL,27,23
208,2016,6,NWE,CIN,35,17
210,2016,6,TEN,CLE,28,26
206,2016,6,MIA,PIT,30,15
205,2016,6,HOU,IND,26,23
203,2016,6,DET,LAR,31,28
202,2016,6,CHI,JAX,16,17
207,2016,6,NOR,CAR,41,38
223,2016,7,NYJ,BAL,24,16
228,2016,7,SFO,TAM,17,34
229,2016,7,DEN,HOU,27,9
227,2016,7,LAR,NYG,10,17
225,2016,7,PHI,MIN,21,10
224,2016,7,TEN,IND,26,34
222,2016,7,MIA,BUF,28,25
226,2016,7,PIT,NWE,16,27
220,2016,7,JAX,OAK,16,33
