,year,week,hometeam,awayteam,homescore,awayscore
0,2017,1,NWE,KAN,27,42
13,2017,1,DEN,LAC,24,21
12,2017,1,WAS,PHI,17,30
11,2017,1,SFO,CAR,3,23
10,2017,1,LAR,IND,46,9
9,2017,1,TEN,OAK,16,26
8,2017,1,HOU,JAX,7,29
14,2017,1,MIN,NOR,29,19
6,2017,1,DET,ARI,35,23
5,2017,1,DAL,NYG,19,3
4,2017,1,CLE,PIT,18,21
3,2017,1,CIN,BAL,0,20
2,2017,1,CHI,ATL,17,23
1,2017,1,BUF,NYJ,21,12
7,2017,1,GNB,SEA,17,9
153,2017,2,TAM,CHI,29,7
152,2017,2,SEA,SFO,12,9
151,2017,2,LAC,MIA,17,19
150,2017,2,BAL,CLE,24,10
149,2017,2,LAR,WAS,20,27
148,2017,2,OAK,NYJ,45,20
144,2017,2,JAX,TEN,16,37
146,2017,2,NOR,NWE,20,36
145,2017,2,KAN,PHI,27,20
143,2017,2,DEN,DAL,42,17
142,2017,2,IND,ARI,13,16
141,2017,2,CAR,BUF,9,3
154,2017,2,NYG,DET,10,24
147,2017,2,PIT,MIN,26,9
140,2017,2,ATL,GNB,34,23
139,2017,2,CIN,HOU,9,13
166,2017,3,TEN,SEA,33,27
170,2017,3,ARI,DAL,17,28
169,2017,3,WAS,OAK,27,10
168,2017,3,LAC,KAN,10,24
167,2017,3,PHI,NYG,27,24
165,2017,3,NYJ,MIA,20,6
164,2017,3,NWE,HOU,36,33
162,2017,3,JAX,BAL,44,7
163,2017,3,MIN,TAM,34,17
160,2017,3,DET,ATL,26,30
159,2017,3,IND,CLE,31,28
158,2017,3,CHI,PIT,23,17
157,2017,3,CAR,NOR,13,34
156,2017,3,BUF,DEN,26,16
155,2017,3,SFO,LAR,39,41
161,2017,3,GNB,CIN,27,24
182,2017,4,BAL,PIT,9,26
181,2017,4,NYJ,JAX,23,20
183,2017,4,LAC,PHI,24,26
176,2017,4,DEN,OAK,16,10
185,2017,4,TAM,NYG,25,23
186,2017,4,KAN,WAS,29,20
180,2017,4,NWE,CAR,30,33
184,2017,4,SEA,IND,46,18
179,2017,4,MIN,DET,7,14
172,2017,4,ATL,BUF,17,23
177,2017,4,HOU,TEN,57,14
175,2017,4,DAL,LAR,30,35
174,2017,4,ARI,SFO,18,15
173,2017,4,CLE,CIN,7,31
171,2017,4,GNB,CHI,35,14
178,2017,4,MIA,NOR,0,20
194,2017,5,MIA,TEN,16,10
198,2017,5,OAK,BAL,17,30
195,2017,5,NYG,LAC,22,27
196,2017,5,PHI,ARI,34,7
197,2017,5,PIT,JAX,9,30
199,2017,5,LAR,SEA,10,16
188,2017,5,CIN,BUF,20,16
191,2017,5,DAL,GNB,31,35
190,2017,5,IND,SFO,26,23
189,2017,5,CLE,NYJ,14,17
187,2017,5,TAM,NWE,14,19
193,2017,5,HOU,KAN,34,42
200,2017,5,CHI,MIN,17,20
192,2017,5,DET,CAR,24,27
204,2017,6,DEN,NYG,10,23
202,2017,6,ATL,MIA,17,20
201,2017,6,CAR,PHI,23,28
214,2017,6,TEN,IND,36,22
213,2017,6,WAS,SFO,26,24
212,2017,6,BAL,CHI,24,27
211,2017,6,OAK,LAC,16,17
209,2017,6,NOR,DET,52,38
210,2017,6,NYJ,NWE,17,24
207,2017,6,KAN,PIT,13,19
206,2017,6,JAX,LAR,17,27
205,2017,6,HOU,CLE,33,17
203,2017,6,ARI,TAM,38,33
208,2017,6,MIN,GNB,23,10
223,2017,7,NWE,ATL,23,7
228,2017,7,SFO,DAL,10,40
229,2017,7,PHI,WAS,34,24
227,2017,7,LAC,DEN,21,0
225,2017,7,PIT,CIN,29,14
224,2017,7,NYG,SEA,7,24
222,2017,7,MIN,BAL,24,16
226,2017,7,LAR,ARI,33,0
220,2017,7,GNB,NOR,17,26
219,2017,7,IND,JAX,0,27
218,2017,7,CLE,TEN,9,12
217,2017,7,CHI,CAR,17,3
216,2017,7,BUF,TAM,30,27
215,2017,7,OAK,KAN,31,30
221,2017,7,MIA,NYJ,31,28
242,2017,8,KAN,DEN,29,19
241,2017,8,WAS,DAL,19,33
236,2017,8,NWE,LAC,21,13
235,2017,8,NOR,CHI,20,12
234,2017,8,DET,PIT,15,20
240,2017,8,TAM,CAR,3,17
232,2017,8,CIN,IND,24,23
233,2017,8,CLE,MIN,16,33
239,2017,8,SEA,HOU,41,38
237,2017,8,NYJ,ATL,20,25
230,2017,8,BAL,MIA,40,0
231,2017,8,BUF,OAK,34,14
238,2017,8,PHI,SFO,33,10
243,2017,9,NYJ,BUF,34,21
244,2017,9,CAR,ATL,20,17
245,2017,9,DAL,KAN,28,17
247,2017,9,JAX,CIN,23,7
248,2017,9,MIA,OAK,24,27
249,2017,9,NOR,TAM,30,10
250,2017,9,NYG,LAR,17,51
251,2017,9,TEN,BAL,23,20
252,2017,9,PHI,DEN,51,23
253,2017,9,SEA,WAS,14,17
246,2017,9,HOU,IND,14,20
255,2017,9,GNB,DET,17,30
254,2017,9,SFO,ARI,10,20
27,2017,10,WAS,MIN,30,38
26,2017,10,TAM,NYJ,15,10
25,2017,10,SFO,NYG,31,21
24,2017,10,LAR,HOU,33,7
23,2017,10,TEN,CIN,24,20
22,2017,10,JAX,LAC,20,17
28,2017,10,CAR,MIA,45,21
20,2017,10,DEN,NWE,16,41
19,2017,10,IND,PIT,17,20
18,2017,10,CHI,GNB,16,23
17,2017,10,BUF,NOR,10,47
16,2017,10,ATL,DAL,27,7
15,2017,10,ARI,SEA,16,22
21,2017,10,DET,CLE,38,24
39,2017,11,NYG,KAN,12,9
30,2017,11,CHI,DET,24,27
42,2017,11,SEA,ATL,31,34
41,2017,11,LAC,BUF,54,24
40,2017,11,OAK,NWE,8,33
38,2017,11,NOR,WAS,34,31
29,2017,11,PIT,TEN,40,17
36,2017,11,MIA,TAM,20,30
35,2017,11,HOU,ARI,31,21
34,2017,11,GNB,BAL,0,23
33,2017,11,DEN,CIN,17,20
32,2017,11,DAL,PHI,9,37
31,2017,11,CLE,JAX,7,19
37,2017,11,MIN,LAR,24,7
58,2017,12,BAL,HOU,23,16
56,2017,12,LAR,NOR,26,20
55,2017,12,OAK,DEN,21,14
54,2017,12,PIT,GNB,31,28
53,2017,12,PHI,CHI,31,3
52,2017,12,NYJ,CAR,27,35
57,2017,12,SFO,SEA,13,24
50,2017,12,KAN,BUF,10,16
43,2017,12,DAL,LAC,6,28
51,2017,12,NWE,MIA,35,17
44,2017,12,DET,MIN,23,30
45,2017,12,WAS,NYG,20,10
46,2017,12,ATL,TAM,34,20
47,2017,12,CIN,CLE,30,16
49,2017,12,ARI,JAX,27,24
48,2017,12,IND,TEN,16,20
73,2017,13,SEA,PHI,24,10
72,2017,13,LAC,CLE,19,10
71,2017,13,BAL,DET,44,20
70,2017,13,OAK,NYG,24,17
69,2017,13,TEN,HOU,24,13
68,2017,13,NYJ,KAN,38,31
67,2017,13,NOR,CAR,31,21
66,2017,13,MIA,DEN,35,9
65,2017,13,JAX,IND,30,10
63,2017,13,ARI,LAR,16,32
62,2017,13,CHI,SFO,14,15
61,2017,13,BUF,NWE,3,23
60,2017,13,ATL,MIN,9,14
59,2017,13,DAL,WAS,38,14
74,2017,13,CIN,PIT,20,23
64,2017,13,GNB,TAM,26,20
75,2017,14,ATL,NOR,20,17
77,2017,14,CAR,MIN,31,24
76,2017,14,BUF,IND,13,7
90,2017,14,MIA,NWE,27,20
89,2017,14,TAM,DET,21,24
88,2017,14,LAC,WAS,30,13
87,2017,14,LAR,PHI,35,43
86,2017,14,PIT,BAL,39,38
83,2017,14,JAX,SEA,30,24
84,2017,14,KAN,OAK,26,15
82,2017,14,HOU,SFO,16,26
81,2017,14,DEN,NYJ,23,0
80,2017,14,ARI,TEN,12,7
79,2017,14,CLE,GNB,21,27
85,2017,14,NYG,DAL,10,30
78,2017,14,CIN,CHI,7,33
106,2017,15,TAM,ATL,21,24
104,2017,15,SFO,TEN,25,23
103,2017,15,SEA,LAR,7,42
102,2017,15,OAK,DAL,17,20
100,2017,15,NYG,PHI,29,34
99,2017,15,NOR,NYJ,31,19
105,2017,15,WAS,ARI,20,15
97,2017,15,JAX,HOU,45,7
98,2017,15,MIN,CIN,34,7
91,2017,15,IND,DEN,13,25
92,2017,15,DET,CHI,20,10
101,2017,15,PIT,NWE,24,27
94,2017,15,BUF,MIA,24,16
95,2017,15,CAR,GNB,31,24
96,2017,15,CLE,BAL,10,27
93,2017,15,KAN,LAC,30,13
122,2017,16,PHI,OAK,19,10
121,2017,16,HOU,PIT,6,34
120,2017,16,WAS,DEN,27,11
119,2017,16,SFO,JAX,44,33
118,2017,16,TEN,LAR,23,27
117,2017,16,NYJ,LAC,7,14
116,2017,16,NWE,BUF,37,16
114,2017,16,KAN,MIA,29,13
113,2017,16,DAL,SEA,12,21
111,2017,16,CIN,DET,26,17
110,2017,16,CHI,CLE,20,3
109,2017,16,CAR,TAM,22,19
108,2017,16,BAL,IND,23,16
107,2017,16,GNB,MIN,0,16
115,2017,16,NOR,ATL,23,13
112,2017,16,ARI,NYG,23,0
131,2017,17,TEN,JAX,15,10
123,2017,17,ATL,CAR,22,10
124,2017,17,IND,HOU,22,13
125,2017,17,DEN,KAN,24,27
126,2017,17,DET,GNB,35,11
128,2017,17,MIN,CHI,23,10
129,2017,17,NWE,NYJ,26,6
138,2017,17,TAM,NOR,31,24
137,2017,17,SEA,ARI,24,26
136,2017,17,LAC,OAK,30,10
135,2017,17,BAL,CIN,27,31
134,2017,17,LAR,SFO,13,34
133,2017,17,PIT,CLE,28,24
132,2017,17,PHI,DAL,0,6
130,2017,17,NYG,WAS,18,10
127,2017,17,MIA,BUF,16,22
